GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
NR-UttarPradesh-Battery,2035,0,29997,336849
NR-UttarPradesh-Battery,2045,0,24986,284904.75
WR-Chhatisgarh-Run-of-River_EP,2025,3241336,92000,.
WR-Chhatisgarh-Run-of-River_EP,2035,3241336,92000,.
WR-Chhatisgarh-Run-of-River_EP,2045,3111470,88000,.
WR-Chhatisgarh-Run-of-River_EP,2022,3241336,92000,.
WR-Chhatisgarh-RoR-with Pondage_EP,2025,3241336,92000,.
WR-Chhatisgarh-RoR-with Pondage_EP,2035,3241336,92000,.
WR-Chhatisgarh-RoR-with Pondage_EP,2045,3111470,88000,.
WR-Chhatisgarh-RoR-with Pondage_EP,2022,3241336,92000,.
WR-Chhatisgarh-Storage_EP,2025,3241336,92000,.
WR-Chhatisgarh-Storage_EP,2035,3241336,92000,.
WR-Chhatisgarh-Storage_EP,2045,3111470,88000,.
WR-Chhatisgarh-Storage_EP,2022,3241336,92000,.
WR-Chhatisgarh-Pumped Storage_EP,2025,0,20150,244774.5806
WR-Chhatisgarh-Pumped Storage_EP,2035,0,20150,244774.5806
WR-Chhatisgarh-Pumped Storage_EP,2045,0,20150,244774.5806
WR-Chhatisgarh-Pumped Storage_EP,2022,0,20150,244774.5806
WR-Chhatisgarh-PV,2025,1491641,21001,.
WR-Chhatisgarh-PV,2035,895321,15022,.
WR-Chhatisgarh-PV,2045,753705,13510,.
WR-Chhatisgarh-PV_EP,2022,1491641,21001,.
WR-Chhatisgarh-Onshore,2025,1569099,31251,.
WR-Chhatisgarh-Onshore,2035,1344692,28261,.
WR-Chhatisgarh-Onshore,2045,1188169,26256,.
WR-Chhatisgarh-Onshore_EP,2022,1569099,31251,.
WR-Chhatisgarh-Battery,2025,0,38777,427850.75
WR-Chhatisgarh-Battery,2035,0,29997,336849
WR-Chhatisgarh-Battery,2045,0,24986,284904.75
WR-Goa-Run-of-River_EP,2025,3241336,92000,.
WR-Goa-Run-of-River_EP,2035,3241336,92000,.
WR-Goa-Run-of-River_EP,2045,3111470,88000,.
WR-Goa-Run-of-River_EP,2022,3241336,92000,.
WR-Goa-RoR-with Pondage_EP,2025,3241336,92000,.
WR-Goa-RoR-with Pondage_EP,2035,3241336,92000,.
WR-Goa-RoR-with Pondage_EP,2045,3111470,88000,.
WR-Goa-RoR-with Pondage_EP,2022,3241336,92000,.
WR-Goa-Storage_EP,2025,3241336,92000,.
WR-Goa-Storage_EP,2035,3241336,92000,.
WR-Goa-Storage_EP,2045,3111470,88000,.
WR-Goa-Storage_EP,2022,3241336,92000,.
WR-Goa-Pumped Storage_EP,2025,0,20150,244774.5806
WR-Goa-Pumped Storage_EP,2035,0,20150,244774.5806
WR-Goa-Pumped Storage_EP,2045,0,20150,244774.5806
WR-Goa-Pumped Storage_EP,2022,0,20150,244774.5806
WR-Goa-PV,2025,1491641,21001,.
WR-Goa-PV,2035,895321,15022,.
WR-Goa-PV,2045,753705,13510,.
WR-Goa-PV_EP,2022,1491641,21001,.
WR-Goa-Onshore,2025,1569099,31251,.
WR-Goa-Onshore,2035,1344692,28261,.
WR-Goa-Onshore,2045,1188169,26256,.
WR-Goa-Onshore_EP,2022,1569099,31251,.
WR-Goa-Battery,2025,0,38777,427850.75
WR-Goa-Battery,2035,0,29997,336849
WR-Goa-Battery,2045,0,24986,284904.75
WR-Gujarat-Run-of-River_EP,2025,3241336,92000,.
WR-Gujarat-Run-of-River_EP,2035,3241336,92000,.
WR-Gujarat-Run-of-River_EP,2045,3111470,88000,.
WR-Gujarat-Run-of-River_EP,2022,3241336,92000,.
WR-Gujarat-RoR-with Pondage_EP,2025,3241336,92000,.
WR-Gujarat-RoR-with Pondage_EP,2035,3241336,92000,.
WR-Gujarat-RoR-with Pondage_EP,2045,3111470,88000,.
WR-Gujarat-RoR-with Pondage_EP,2022,3241336,92000,.
WR-Gujarat-Storage_EP,2025,3241336,92000,.
WR-Gujarat-Storage_EP,2035,3241336,92000,.
WR-Gujarat-Storage_EP,2045,3111470,88000,.
WR-Gujarat-Storage_EP,2022,3241336,92000,.
WR-Gujarat-Pumped Storage_EP,2025,0,20150,244774.5806
WR-Gujarat-Pumped Storage_EP,2035,0,20150,244774.5806
WR-Gujarat-Pumped Storage_EP,2045,0,20150,244774.5806
WR-Gujarat-Pumped Storage_EP,2022,0,20150,244774.5806
WR-Gujarat-PV,2025,1491641,21001,.
WR-Gujarat-PV,2035,895321,15022,.
WR-Gujarat-PV,2045,753705,13510,.
WR-Gujarat-PV_EP,2022,1491641,21001,.
WR-Gujarat-Onshore,2025,1569099,31251,.
WR-Gujarat-Onshore,2035,1344692,28261,.
WR-Gujarat-Onshore,2045,1188169,26256,.
WR-Gujarat-Onshore_EP,2022,1569099,31251,.
WR-Gujarat-Offshore,2025,5877079,84270,.
WR-Gujarat-Offshore,2035,3435322,74181,.
WR-Gujarat-Offshore,2045,3208853,68141,.
WR-Gujarat-Offshore_EP,2022,5877079,84270,.
WR-Gujarat-Battery,2025,0,38777,427850.75
WR-Gujarat-Battery,2035,0,29997,336849
WR-Gujarat-Battery,2045,0,24986,284904.75
WR-MadhyaPradesh-Run-of-River_EP,2025,3241336,92000,.
WR-MadhyaPradesh-Run-of-River_EP,2035,3241336,92000,.
WR-MadhyaPradesh-Run-of-River_EP,2045,3111470,88000,.
WR-MadhyaPradesh-Run-of-River_EP,2022,3241336,92000,.
WR-MadhyaPradesh-RoR-with Pondage_EP,2025,3241336,92000,.
WR-MadhyaPradesh-RoR-with Pondage_EP,2035,3241336,92000,.
WR-MadhyaPradesh-RoR-with Pondage_EP,2045,3111470,88000,.
WR-MadhyaPradesh-RoR-with Pondage_EP,2022,3241336,92000,.
WR-MadhyaPradesh-Storage_EP,2025,3241336,92000,.
WR-MadhyaPradesh-Storage_EP,2035,3241336,92000,.
WR-MadhyaPradesh-Storage_EP,2045,3111470,88000,.
WR-MadhyaPradesh-Storage_EP,2022,3241336,92000,.
WR-MadhyaPradesh-Pumped Storage_EP,2025,0,20150,244774.5806
WR-MadhyaPradesh-Pumped Storage_EP,2035,0,20150,244774.5806
WR-MadhyaPradesh-Pumped Storage_EP,2045,0,20150,244774.5806
WR-MadhyaPradesh-Pumped Storage_EP,2022,0,20150,244774.5806
WR-MadhyaPradesh-PV,2025,1491641,21001,.
WR-MadhyaPradesh-PV,2035,895321,15022,.
WR-MadhyaPradesh-PV,2045,753705,13510,.
WR-MadhyaPradesh-PV_EP,2022,1491641,21001,.
WR-MadhyaPradesh-Onshore,2025,1569099,31251,.
WR-MadhyaPradesh-Onshore,2035,1344692,28261,.
WR-MadhyaPradesh-Onshore,2045,1188169,26256,.
WR-MadhyaPradesh-Onshore_EP,2022,1569099,31251,.
WR-MadhyaPradesh-Battery,2025,0,38777,427850.75
WR-MadhyaPradesh-Battery,2035,0,29997,336849
WR-MadhyaPradesh-Battery,2045,0,24986,284904.75
WR-Maharashtra-Run-of-River_EP,2025,3241336,92000,.
WR-Maharashtra-Run-of-River_EP,2035,3241336,92000,.
WR-Maharashtra-Run-of-River_EP,2045,3111470,88000,.
WR-Maharashtra-Run-of-River_EP,2022,3241336,92000,.
WR-Maharashtra-RoR-with Pondage_EP,2025,3241336,92000,.
WR-Maharashtra-RoR-with Pondage_EP,2035,3241336,92000,.
WR-Maharashtra-RoR-with Pondage_EP,2045,3111470,88000,.
WR-Maharashtra-RoR-with Pondage_EP,2022,3241336,92000,.
WR-Maharashtra-Storage_EP,2025,3241336,92000,.
WR-Maharashtra-Storage_EP,2035,3241336,92000,.
WR-Maharashtra-Storage_EP,2045,3111470,88000,.
WR-Maharashtra-Storage_EP,2022,3241336,92000,.
WR-Maharashtra-Pumped Storage_EP,2025,0,20150,244774.5806
WR-Maharashtra-Pumped Storage_EP,2035,0,20150,244774.5806
WR-Maharashtra-Pumped Storage_EP,2045,0,20150,244774.5806
WR-Maharashtra-Pumped Storage_EP,2022,0,20150,244774.5806
WR-Maharashtra-PV,2025,1491641,21001,.
WR-Maharashtra-PV,2035,895321,15022,.
WR-Maharashtra-PV,2045,753705,13510,.
WR-Maharashtra-PV_EP,2022,1491641,21001,.
WR-Maharashtra-Onshore,2025,1569099,31251,.
WR-Maharashtra-Onshore,2035,1344692,28261,.
WR-Maharashtra-Onshore,2045,1188169,26256,.
WR-Maharashtra-Onshore_EP,2022,1569099,31251,.
WR-Maharashtra-Offshore,2025,5877079,84270,.
WR-Maharashtra-Offshore,2035,3435322,74181,.
WR-Maharashtra-Offshore,2045,3208853,68141,.
WR-Maharashtra-Offshore_EP,2022,5877079,84270,.
WR-Maharashtra-Battery,2025,0,38777,427850.75
WR-Maharashtra-Battery,2035,0,29997,336849
WR-Maharashtra-Battery,2045,0,24986,284904.75
SR-AndhraPradeshandTelangana-Run-of-River_EP,2025,3241336,92000,.
SR-AndhraPradeshandTelangana-Run-of-River_EP,2035,3241336,92000,.
SR-AndhraPradeshandTelangana-Run-of-River_EP,2045,3111470,88000,.
SR-AndhraPradeshandTelangana-Run-of-River_EP,2022,3241336,92000,.
SR-AndhraPradeshandTelangana-RoR-with Pondage_EP,2025,3241336,92000,.
SR-AndhraPradeshandTelangana-RoR-with Pondage_EP,2035,3241336,92000,.
SR-AndhraPradeshandTelangana-RoR-with Pondage_EP,2045,3111470,88000,.
SR-AndhraPradeshandTelangana-RoR-with Pondage_EP,2022,3241336,92000,.
SR-AndhraPradeshandTelangana-Storage_EP,2025,3241336,92000,.
