hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Jilin-Hydro_NonPumped-ep,2050.10.22,0,5046
Liaoning-Hydro_NonPumped-ep,2030.01.28,0,64
Liaoning-Hydro_NonPumped-ep,2030.04.15,0,663
Liaoning-Hydro_NonPumped-ep,2030.07.01,0,2306
Liaoning-Hydro_NonPumped-ep,2030.10.31,0,787
Liaoning-Hydro_NonPumped-ep,2040.01.02,0,73
Liaoning-Hydro_NonPumped-ep,2040.04.19,0,743
Liaoning-Hydro_NonPumped-ep,2040.07.24,0,2585
Liaoning-Hydro_NonPumped-ep,2040.10.13,0,882
Liaoning-Hydro_NonPumped-ep,2050.01.04,0,80
Liaoning-Hydro_NonPumped-ep,2050.04.29,0,824
Liaoning-Hydro_NonPumped-ep,2050.07.23,0,2867
Liaoning-Hydro_NonPumped-ep,2050.10.22,0,979
Ningxia-Hydro_NonPumped-ep,2030.01.28,0,129
Ningxia-Hydro_NonPumped-ep,2030.04.15,0,189
Ningxia-Hydro_NonPumped-ep,2030.07.01,0,462
Ningxia-Hydro_NonPumped-ep,2030.10.31,0,399
Ningxia-Hydro_NonPumped-ep,2040.01.02,0,144
Ningxia-Hydro_NonPumped-ep,2040.04.19,0,212
Ningxia-Hydro_NonPumped-ep,2040.07.24,0,517
Ningxia-Hydro_NonPumped-ep,2040.10.13,0,448
Ningxia-Hydro_NonPumped-ep,2050.01.04,0,160
Ningxia-Hydro_NonPumped-ep,2050.04.29,0,235
Ningxia-Hydro_NonPumped-ep,2050.07.23,0,574
Ningxia-Hydro_NonPumped-ep,2050.10.22,0,496
Qinghai-Hydro_NonPumped-ep,2030.01.28,0,4400
Qinghai-Hydro_NonPumped-ep,2030.04.15,0,6498
Qinghai-Hydro_NonPumped-ep,2030.07.01,0,15836
Qinghai-Hydro_NonPumped-ep,2030.10.31,0,13694
Qinghai-Hydro_NonPumped-ep,2040.01.02,0,4931
Qinghai-Hydro_NonPumped-ep,2040.04.19,0,7283
Qinghai-Hydro_NonPumped-ep,2040.07.24,0,17751
Qinghai-Hydro_NonPumped-ep,2040.10.13,0,15349
Qinghai-Hydro_NonPumped-ep,2050.01.04,0,5471
Qinghai-Hydro_NonPumped-ep,2050.04.29,0,8080
Qinghai-Hydro_NonPumped-ep,2050.07.23,0,19690
Qinghai-Hydro_NonPumped-ep,2050.10.22,0,17029
Shaanxi-Hydro_NonPumped-ep,2030.01.28,0,1402
Shaanxi-Hydro_NonPumped-ep,2030.04.15,0,2520
Shaanxi-Hydro_NonPumped-ep,2030.07.01,0,3684
Shaanxi-Hydro_NonPumped-ep,2030.10.31,0,4452
Shaanxi-Hydro_NonPumped-ep,2040.01.02,0,1571
Shaanxi-Hydro_NonPumped-ep,2040.04.19,0,2824
Shaanxi-Hydro_NonPumped-ep,2040.07.24,0,4128
Shaanxi-Hydro_NonPumped-ep,2040.10.13,0,4990
Shaanxi-Hydro_NonPumped-ep,2050.01.04,0,1743
Shaanxi-Hydro_NonPumped-ep,2050.04.29,0,3133
