GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Hebei-Coal_300_SEA,1.0,8.92
Hebei-Coal_600_DRY,0.4,9.6105
Hebei-Coal_600_DRY,1.0,8.94
Hebei-Coal_600_OT,0.4,9.08375
Hebei-Coal_600_OT,1.0,8.45
Hebei-Coal_600_RC,0.4,9.08375
Hebei-Coal_600_RC,1.0,8.45
Hebei-Coal_600_SEA,0.4,9.08375
Hebei-Coal_600_SEA,1.0,8.45
Hebei-Coal_IGCC_RC,0.4,12.75715
Hebei-Coal_IGCC_RC,1.0,8.89
Hebei-Coal_Small_RC,0.4,10.406
Hebei-Coal_Small_RC,1.0,9.68
Hebei-EP_Coal_1000_SEA,0.4,8.2345
Hebei-EP_Coal_1000_SEA,1.0,7.66
Hebei-EP_Coal_300_DRY,0.4,9.460000000000004
Hebei-EP_Coal_300_DRY,1.0,8.8
Hebei-EP_Coal_300_RC,0.4,9.169750000000002
Hebei-EP_Coal_300_RC,1.0,8.53
Hebei-EP_Coal_300_SEA,0.4,9.16975
Hebei-EP_Coal_300_SEA,1.0,8.53
Hebei-EP_Coal_600_DRY,0.4,8.8795
Hebei-EP_Coal_600_DRY,1.0,8.26
Hebei-EP_Coal_600_RC,0.4,8.52475
Hebei-EP_Coal_600_RC,1.0,7.93
Hebei-EP_Coal_600_SEA,0.4,8.52475
Hebei-EP_Coal_600_SEA,1.0,7.93
Hebei-EP_Gas_CCGT_RC,0.45,9.42564
Hebei-EP_Gas_CCGT_RC,1.0,6.86
Hebei-Gas_CCGT_OT,0.45,8.88978
Hebei-Gas_CCGT_OT,1.0,6.47
Hebei-Gas_CCGT_RC,0.45,9.64548
Hebei-Gas_CCGT_RC,1.0,7.019999999999999
Hebei-Gas_CCGT_SEA,0.45,8.88978
Hebei-Gas_CCGT_SEA,1.0,6.47
Hebei-Gas_Combustion_Turbine_RC,0.4,11.03368
Hebei-Gas_Combustion_Turbine_RC,1.0,9.76
Heilongjiang-Coal_1000_DRY,0.4,8.9225
Heilongjiang-Coal_1000_DRY,1.0,8.3
Heilongjiang-Coal_1000_OT,0.4,8.471
Heilongjiang-Coal_1000_OT,1.0,7.88
Heilongjiang-Coal_1000_RC,0.4,8.471
Heilongjiang-Coal_1000_RC,1.0,7.88
Heilongjiang-Coal_100_OT,0.4,9.81475
Heilongjiang-Coal_100_OT,1.0,9.13
Heilongjiang-Coal_100_RC,0.4,9.739499999999998
Heilongjiang-Coal_100_RC,1.0,9.06
Heilongjiang-Coal_300_DRY,0.4,10.07275
Heilongjiang-Coal_300_DRY,1.0,9.37
Heilongjiang-Coal_300_OT,0.4,9.589
Heilongjiang-Coal_300_OT,1.0,8.92
Heilongjiang-Coal_300_RC,0.4,9.589
Heilongjiang-Coal_300_RC,1.0,8.92
Heilongjiang-Coal_600_DRY,0.4,9.6105
Heilongjiang-Coal_600_DRY,1.0,8.94
Heilongjiang-Coal_600_OT,0.4,9.08375
Heilongjiang-Coal_600_OT,1.0,8.45
Heilongjiang-Coal_600_RC,0.4,9.08375
Heilongjiang-Coal_600_RC,1.0,8.45
Heilongjiang-Coal_IGCC_RC,0.4,12.75715
Heilongjiang-Coal_IGCC_RC,1.0,8.89
Heilongjiang-Coal_Small_OT,0.4,10.3845
Heilongjiang-Coal_Small_OT,1.0,9.66
Heilongjiang-Coal_Small_RC,0.4,10.406
Heilongjiang-Coal_Small_RC,1.0,9.68
Heilongjiang-EP_Coal_300_OT,0.4,9.16975
Heilongjiang-EP_Coal_300_OT,1.0,8.53
Heilongjiang-EP_Coal_300_RC,0.4,9.16975
Heilongjiang-EP_Coal_300_RC,1.0,8.53
Heilongjiang-EP_Coal_600_RC,0.4,8.52475
Heilongjiang-EP_Coal_600_RC,1.0,7.93
Heilongjiang-EP_Gas_CCGT_RC,0.45,9.42564
Heilongjiang-EP_Gas_CCGT_RC,1.0,6.86
Heilongjiang-Gas_CCGT_OT,0.45,8.88978
Heilongjiang-Gas_CCGT_OT,1.0,6.47
Heilongjiang-Gas_CCGT_RC,0.45,9.64548
Heilongjiang-Gas_CCGT_RC,1.0,7.019999999999999
Heilongjiang-Gas_Combustion_Turbine_RC,0.4,11.03368
Heilongjiang-Gas_Combustion_Turbine_RC,1.0,9.76
Henan-Coal_1000_DRY,0.4,8.9225
Henan-Coal_1000_DRY,1.0,8.3
Henan-Coal_1000_RC,0.4,8.471
Henan-Coal_1000_RC,1.0,7.88
Henan-Coal_100_RC,0.4,9.739500000000003
Henan-Coal_100_RC,1.0,9.06
Henan-Coal_300_DRY,0.4,10.07275
Henan-Coal_300_DRY,1.0,9.37
Henan-Coal_300_RC,0.4,9.589
Henan-Coal_300_RC,1.0,8.92
Henan-Coal_600_DRY,0.4,9.6105
Henan-Coal_600_DRY,1.0,8.94
Henan-Coal_600_RC,0.4,9.08375
Henan-Coal_600_RC,1.0,8.45
Henan-Coal_IGCC_RC,0.4,12.75715
Henan-Coal_IGCC_RC,1.0,8.89
Henan-Coal_Small_RC,0.4,10.406
Henan-Coal_Small_RC,1.0,9.68
Henan-EP_Coal_1000_RC,0.4,8.234499999999999
Henan-EP_Coal_1000_RC,1.0,7.659999999999999
Henan-EP_Coal_300_OT,0.4,9.16975
Henan-EP_Coal_300_OT,1.0,8.53
Henan-EP_Coal_300_RC,0.4,9.16975
Henan-EP_Coal_300_RC,1.0,8.53
Henan-EP_Coal_600_DRY,0.4,8.8795
Henan-EP_Coal_600_DRY,1.0,8.26
Henan-EP_Coal_600_RC,0.4,8.524749999999997
Henan-EP_Coal_600_RC,1.0,7.930000000000001
Henan-EP_Gas_CCGT_RC,0.45,9.42564
Henan-EP_Gas_CCGT_RC,1.0,6.860000000000001
Henan-Gas_CCGT_RC,0.45,9.64548
Henan-Gas_CCGT_RC,1.0,7.019999999999999
Henan-Gas_Combustion_Turbine_RC,0.4,11.03368
Henan-Gas_Combustion_Turbine_RC,1.0,9.76
Hubei-Coal_1000_RC,0.4,8.471
Hubei-Coal_1000_RC,1.0,7.88
Hubei-Coal_100_OT,0.4,9.81475
Hubei-Coal_100_OT,1.0,9.13
Hubei-Coal_100_RC,0.4,9.7395
Hubei-Coal_100_RC,1.0,9.06
Hubei-Coal_300_RC,0.4,9.589
Hubei-Coal_300_RC,1.0,8.92
Hubei-Coal_600_RC,0.4,9.08375
Hubei-Coal_600_RC,1.0,8.45
Hubei-Coal_IGCC_RC,0.4,12.75715
Hubei-Coal_IGCC_RC,1.0,8.89
Hubei-Coal_Small_OT,0.4,10.3845
Hubei-Coal_Small_OT,1.0,9.66
Hubei-Coal_Small_RC,0.4,10.406
Hubei-Coal_Small_RC,1.0,9.68
Hubei-EP_Coal_1000_RC,0.4,8.2345
Hubei-EP_Coal_1000_RC,1.0,7.66
Hubei-EP_Coal_300_OT,0.4,9.16975
Hubei-EP_Coal_300_OT,1.0,8.53
Hubei-EP_Coal_300_RC,0.4,9.169749999999995
Hubei-EP_Coal_300_RC,1.0,8.53
Hubei-EP_Coal_600_OT,0.4,8.52475
Hubei-EP_Coal_600_OT,1.0,7.93
Hubei-EP_Coal_600_RC,0.4,8.52475
Hubei-EP_Coal_600_RC,1.0,7.93
Hubei-EP_Gas_CCGT_OT,0.45,8.68368
Hubei-EP_Gas_CCGT_OT,1.0,6.32
Hubei-EP_Gas_CCGT_RC,0.45,9.42564
Hubei-EP_Gas_CCGT_RC,1.0,6.86
Hubei-Gas_CCGT_RC,0.45,9.64548
Hubei-Gas_CCGT_RC,1.0,7.02
Hubei-Gas_Combustion_Turbine_RC,0.4,11.03368
Hubei-Gas_Combustion_Turbine_RC,1.0,9.76
Hunan-Coal_1000_RC,0.4,8.471
Hunan-Coal_1000_RC,1.0,7.88
Hunan-Coal_100_OT,0.4,9.81475
Hunan-Coal_100_OT,1.0,9.13
Hunan-Coal_300_RC,0.4,9.589
Hunan-Coal_300_RC,1.0,8.92
Hunan-Coal_600_RC,0.4,9.08375
Hunan-Coal_600_RC,1.0,8.45
Hunan-Coal_IGCC_RC,0.4,12.75715
Hunan-Coal_IGCC_RC,1.0,8.89
Hunan-Coal_Small_OT,0.4,10.3845
Hunan-Coal_Small_OT,1.0,9.66
Hunan-Coal_Small_RC,0.4,10.406
Hunan-Coal_Small_RC,1.0,9.68
Hunan-EP_Coal_1000_RC,0.4,8.2345
Hunan-EP_Coal_1000_RC,1.0,7.66
Hunan-EP_Coal_300_OT,0.4,9.16975
