GENERATION_PROJECT,timepoint,gen_max_capacity_factor
East_Inner_Mongolia-Central_PV,2030.01.28.17.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.18.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.19.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.20.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.21.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.22.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.23.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.00.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.01.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.02.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.03.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.04.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.05.00,0.004
East_Inner_Mongolia-Central_PV,2030.04.15.06.00,0.137
East_Inner_Mongolia-Central_PV,2030.04.15.07.00,0.382
East_Inner_Mongolia-Central_PV,2030.04.15.08.00,0.617
East_Inner_Mongolia-Central_PV,2030.04.15.09.00,0.796
East_Inner_Mongolia-Central_PV,2030.04.15.10.00,0.901
East_Inner_Mongolia-Central_PV,2030.04.15.11.00,0.847
East_Inner_Mongolia-Central_PV,2030.04.15.12.00,0.755
East_Inner_Mongolia-Central_PV,2030.04.15.13.00,0.654
East_Inner_Mongolia-Central_PV,2030.04.15.14.00,0.542
East_Inner_Mongolia-Central_PV,2030.04.15.15.00,0.4
East_Inner_Mongolia-Central_PV,2030.04.15.16.00,0.245
East_Inner_Mongolia-Central_PV,2030.04.15.17.00,0.089
East_Inner_Mongolia-Central_PV,2030.04.15.18.00,0.001
East_Inner_Mongolia-Central_PV,2030.04.15.19.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.20.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.21.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.22.00,0
East_Inner_Mongolia-Central_PV,2030.04.15.23.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.00.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.01.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.02.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.03.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.04.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.05.00,0.036
East_Inner_Mongolia-Central_PV,2030.07.01.06.00,0.18
East_Inner_Mongolia-Central_PV,2030.07.01.07.00,0.382
East_Inner_Mongolia-Central_PV,2030.07.01.08.00,0.562
East_Inner_Mongolia-Central_PV,2030.07.01.09.00,0.699
East_Inner_Mongolia-Central_PV,2030.07.01.10.00,0.787
East_Inner_Mongolia-Central_PV,2030.07.01.11.00,0.821
East_Inner_Mongolia-Central_PV,2030.07.01.12.00,0.762
East_Inner_Mongolia-Central_PV,2030.07.01.13.00,0.587
East_Inner_Mongolia-Central_PV,2030.07.01.14.00,0.363
East_Inner_Mongolia-Central_PV,2030.07.01.15.00,0.162
East_Inner_Mongolia-Central_PV,2030.07.01.16.00,0.077
East_Inner_Mongolia-Central_PV,2030.07.01.17.00,0.031
East_Inner_Mongolia-Central_PV,2030.07.01.18.00,0.004
East_Inner_Mongolia-Central_PV,2030.07.01.19.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.20.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.21.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.22.00,0
East_Inner_Mongolia-Central_PV,2030.07.01.23.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.00.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.01.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.02.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.03.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.04.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.05.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.06.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.07.00,0.155
East_Inner_Mongolia-Central_PV,2030.10.31.08.00,0.415
East_Inner_Mongolia-Central_PV,2030.10.31.09.00,0.626
East_Inner_Mongolia-Central_PV,2030.10.31.10.00,0.739
East_Inner_Mongolia-Central_PV,2030.10.31.11.00,0.786
East_Inner_Mongolia-Central_PV,2030.10.31.12.00,0.817
East_Inner_Mongolia-Central_PV,2030.10.31.13.00,0.75
East_Inner_Mongolia-Central_PV,2030.10.31.14.00,0.59
East_Inner_Mongolia-Central_PV,2030.10.31.15.00,0.332
East_Inner_Mongolia-Central_PV,2030.10.31.16.00,0.094
East_Inner_Mongolia-Central_PV,2030.10.31.17.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.18.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.19.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.20.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.21.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.22.00,0
East_Inner_Mongolia-Central_PV,2030.10.31.23.00,0
Fujian-Central_PV,2030.01.28.00.00,0
Fujian-Central_PV,2030.01.28.01.00,0
Fujian-Central_PV,2030.01.28.02.00,0
Fujian-Central_PV,2030.01.28.03.00,0
Fujian-Central_PV,2030.01.28.04.00,0
Fujian-Central_PV,2030.01.28.05.00,0
Fujian-Central_PV,2030.01.28.06.00,0
Fujian-Central_PV,2030.01.28.07.00,0.101
Fujian-Central_PV,2030.01.28.08.00,0.226
Fujian-Central_PV,2030.01.28.09.00,0.421
Fujian-Central_PV,2030.01.28.10.00,0.542
Fujian-Central_PV,2030.01.28.11.00,0.61
Fujian-Central_PV,2030.01.28.12.00,0.547
Fujian-Central_PV,2030.01.28.13.00,0.487
Fujian-Central_PV,2030.01.28.14.00,0.391
Fujian-Central_PV,2030.01.28.15.00,0.27
Fujian-Central_PV,2030.01.28.16.00,0.143
Fujian-Central_PV,2030.01.28.17.00,0.009
Fujian-Central_PV,2030.01.28.18.00,0
Fujian-Central_PV,2030.01.28.19.00,0
Fujian-Central_PV,2030.01.28.20.00,0
Fujian-Central_PV,2030.01.28.21.00,0
Fujian-Central_PV,2030.01.28.22.00,0
Fujian-Central_PV,2030.01.28.23.00,0
Fujian-Central_PV,2030.04.15.00.00,0
Fujian-Central_PV,2030.04.15.01.00,0
Fujian-Central_PV,2030.04.15.02.00,0
Fujian-Central_PV,2030.04.15.03.00,0
Fujian-Central_PV,2030.04.15.04.00,0
Fujian-Central_PV,2030.04.15.05.00,0
Fujian-Central_PV,2030.04.15.06.00,0.025
Fujian-Central_PV,2030.04.15.07.00,0.112
Fujian-Central_PV,2030.04.15.08.00,0.285
Fujian-Central_PV,2030.04.15.09.00,0.376
Fujian-Central_PV,2030.04.15.10.00,0.437
Fujian-Central_PV,2030.04.15.11.00,0.536
Fujian-Central_PV,2030.04.15.12.00,0.585
Fujian-Central_PV,2030.04.15.13.00,0.575
Fujian-Central_PV,2030.04.15.14.00,0.472
Fujian-Central_PV,2030.04.15.15.00,0.367
Fujian-Central_PV,2030.04.15.16.00,0.249
Fujian-Central_PV,2030.04.15.17.00,0.113
Fujian-Central_PV,2030.04.15.18.00,0.009
Fujian-Central_PV,2030.04.15.19.00,0
Fujian-Central_PV,2030.04.15.20.00,0
Fujian-Central_PV,2030.04.15.21.00,0
Fujian-Central_PV,2030.04.15.22.00,0
Fujian-Central_PV,2030.04.15.23.00,0
Fujian-Central_PV,2030.07.01.00.00,0
Fujian-Central_PV,2030.07.01.01.00,0
Fujian-Central_PV,2030.07.01.02.00,0
Fujian-Central_PV,2030.07.01.03.00,0
Fujian-Central_PV,2030.07.01.04.00,0
Fujian-Central_PV,2030.07.01.05.00,0.006
Fujian-Central_PV,2030.07.01.06.00,0.11
Fujian-Central_PV,2030.07.01.07.00,0.285
Fujian-Central_PV,2030.07.01.08.00,0.394
Fujian-Central_PV,2030.07.01.09.00,0.565
Fujian-Central_PV,2030.07.01.10.00,0.671
Fujian-Central_PV,2030.07.01.11.00,0.693
Fujian-Central_PV,2030.07.01.12.00,0.659
Fujian-Central_PV,2030.07.01.13.00,0.508
Fujian-Central_PV,2030.07.01.14.00,0.4
Fujian-Central_PV,2030.07.01.15.00,0.299
Fujian-Central_PV,2030.07.01.16.00,0.184
Fujian-Central_PV,2030.07.01.17.00,0.049
Fujian-Central_PV,2030.07.01.18.00,0.002
Fujian-Central_PV,2030.07.01.19.00,0
Fujian-Central_PV,2030.07.01.20.00,0
Fujian-Central_PV,2030.07.01.21.00,0
Fujian-Central_PV,2030.07.01.22.00,0
Fujian-Central_PV,2030.07.01.23.00,0
Fujian-Central_PV,2030.10.31.00.00,0
Fujian-Central_PV,2030.10.31.01.00,0
Fujian-Central_PV,2030.10.31.02.00,0
Fujian-Central_PV,2030.10.31.03.00,0
Fujian-Central_PV,2030.10.31.04.00,0
Fujian-Central_PV,2030.10.31.05.00,0
Fujian-Central_PV,2030.10.31.06.00,0.016
Fujian-Central_PV,2030.10.31.07.00,0.18
Fujian-Central_PV,2030.10.31.08.00,0.425
Fujian-Central_PV,2030.10.31.09.00,0.611
Fujian-Central_PV,2030.10.31.10.00,0.732
Fujian-Central_PV,2030.10.31.11.00,0.782
Fujian-Central_PV,2030.10.31.12.00,0.761
Fujian-Central_PV,2030.10.31.13.00,0.698
Fujian-Central_PV,2030.10.31.14.00,0.6
Fujian-Central_PV,2030.10.31.15.00,0.397
Fujian-Central_PV,2030.10.31.16.00,0.192
Fujian-Central_PV,2030.10.31.17.00,0.037
Fujian-Central_PV,2030.10.31.18.00,0
Fujian-Central_PV,2030.10.31.19.00,0
Fujian-Central_PV,2030.10.31.20.00,0
Fujian-Central_PV,2030.10.31.21.00,0
Fujian-Central_PV,2030.10.31.22.00,0
Fujian-Central_PV,2030.10.31.23.00,0
Gansu-Central_PV,2030.01.28.00.00,0
