GENERATION_PROJECT,timepoint,gen_max_capacity_factor
ER-Sikkim-PV,2030.01.28.03.00,0
ER-Sikkim-PV,2030.01.28.04.00,0
ER-Sikkim-PV,2030.01.28.05.00,0.0005
ER-Sikkim-PV,2030.01.28.06.00,0.122
ER-Sikkim-PV,2030.01.28.07.00,0.3925
ER-Sikkim-PV,2030.01.28.08.00,0.669
ER-Sikkim-PV,2030.01.28.09.00,0.854
ER-Sikkim-PV,2030.01.28.10.00,0.9335
ER-Sikkim-PV,2030.01.28.11.00,0.942
ER-Sikkim-PV,2030.01.28.12.00,0.894
ER-Sikkim-PV,2030.01.28.13.00,0.7915
ER-Sikkim-PV,2030.01.28.14.00,0.614
ER-Sikkim-PV,2030.01.28.15.00,0.366
ER-Sikkim-PV,2030.01.28.16.00,0.12
ER-Sikkim-PV,2030.01.28.17.00,0.006
ER-Sikkim-PV,2030.01.28.18.00,0
ER-Sikkim-PV,2030.01.28.19.00,0
ER-Sikkim-PV,2030.01.28.20.00,0
ER-Sikkim-PV,2030.01.28.21.00,0
ER-Sikkim-PV,2030.01.28.22.00,0
ER-Sikkim-PV,2030.01.28.23.00,0
ER-Sikkim-PV,2030.04.15.00.00,0
ER-Sikkim-PV,2030.04.15.01.00,0
ER-Sikkim-PV,2030.04.15.02.00,0
ER-Sikkim-PV,2030.04.15.03.00,0
ER-Sikkim-PV,2030.04.15.04.00,0.002
ER-Sikkim-PV,2030.04.15.05.00,0.0675
ER-Sikkim-PV,2030.04.15.06.00,0.251
ER-Sikkim-PV,2030.04.15.07.00,0.485
ER-Sikkim-PV,2030.04.15.08.00,0.685
ER-Sikkim-PV,2030.04.15.09.00,0.827
ER-Sikkim-PV,2030.04.15.10.00,0.9065
ER-Sikkim-PV,2030.04.15.11.00,0.915
ER-Sikkim-PV,2030.04.15.12.00,0.8435
ER-Sikkim-PV,2030.04.15.13.00,0.7135
ER-Sikkim-PV,2030.04.15.14.00,0.55
ER-Sikkim-PV,2030.04.15.15.00,0.358
ER-Sikkim-PV,2030.04.15.16.00,0.1755
ER-Sikkim-PV,2030.04.15.17.00,0.0505
ER-Sikkim-PV,2030.04.15.18.00,0.003
ER-Sikkim-PV,2030.04.15.19.00,0
ER-Sikkim-PV,2030.04.15.20.00,0
ER-Sikkim-PV,2030.04.15.21.00,0
ER-Sikkim-PV,2030.04.15.22.00,0
ER-Sikkim-PV,2030.04.15.23.00,0
ER-Sikkim-PV,2030.07.01.00.00,0
ER-Sikkim-PV,2030.07.01.01.00,0
ER-Sikkim-PV,2030.07.01.02.00,0
ER-Sikkim-PV,2030.07.01.03.00,0
ER-Sikkim-PV,2030.07.01.04.00,0.005
ER-Sikkim-PV,2030.07.01.05.00,0.068
ER-Sikkim-PV,2030.07.01.06.00,0.2265
ER-Sikkim-PV,2030.07.01.07.00,0.4195
ER-Sikkim-PV,2030.07.01.08.00,0.5815
ER-Sikkim-PV,2030.07.01.09.00,0.688
ER-Sikkim-PV,2030.07.01.10.00,0.7395
ER-Sikkim-PV,2030.07.01.11.00,0.727
ER-Sikkim-PV,2030.07.01.12.00,0.6585
ER-Sikkim-PV,2030.07.01.13.00,0.532
ER-Sikkim-PV,2030.07.01.14.00,0.3835
ER-Sikkim-PV,2030.07.01.15.00,0.2575
ER-Sikkim-PV,2030.07.01.16.00,0.144
ER-Sikkim-PV,2030.07.01.17.00,0.0525
ER-Sikkim-PV,2030.07.01.18.00,0.006
ER-Sikkim-PV,2030.07.01.19.00,0
ER-Sikkim-PV,2030.07.01.20.00,0
ER-Sikkim-PV,2030.07.01.21.00,0
ER-Sikkim-PV,2030.07.01.22.00,0
ER-Sikkim-PV,2030.07.01.23.00,0
ER-Sikkim-PV,2030.10.31.00.00,0
ER-Sikkim-PV,2030.10.31.01.00,0
ER-Sikkim-PV,2030.10.31.02.00,0
ER-Sikkim-PV,2030.10.31.03.00,0
ER-Sikkim-PV,2030.10.31.04.00,0
ER-Sikkim-PV,2030.10.31.05.00,0.03
ER-Sikkim-PV,2030.10.31.06.00,0.1495
ER-Sikkim-PV,2030.10.31.07.00,0.345
ER-Sikkim-PV,2030.10.31.08.00,0.5615
ER-Sikkim-PV,2030.10.31.09.00,0.749
ER-Sikkim-PV,2030.10.31.10.00,0.8385
ER-Sikkim-PV,2030.10.31.11.00,0.8295
ER-Sikkim-PV,2030.10.31.12.00,0.7615
ER-Sikkim-PV,2030.10.31.13.00,0.642
ER-Sikkim-PV,2030.10.31.14.00,0.487
ER-Sikkim-PV,2030.10.31.15.00,0.3125
ER-Sikkim-PV,2030.10.31.16.00,0.138
ER-Sikkim-PV,2030.10.31.17.00,0.028
ER-Sikkim-PV,2030.10.31.18.00,0
ER-Sikkim-PV,2030.10.31.19.00,0
ER-Sikkim-PV,2030.10.31.20.00,0
ER-Sikkim-PV,2030.10.31.21.00,0
ER-Sikkim-PV,2030.10.31.22.00,0
ER-Sikkim-PV,2030.10.31.23.00,0
ER-WestBengal-PV,2030.01.28.00.00,0
ER-WestBengal-PV,2030.01.28.01.00,0
ER-WestBengal-PV,2030.01.28.02.00,0
ER-WestBengal-PV,2030.01.28.03.00,0
ER-WestBengal-PV,2030.01.28.04.00,0
ER-WestBengal-PV,2030.01.28.05.00,0
ER-WestBengal-PV,2030.01.28.06.00,0.0365
ER-WestBengal-PV,2030.01.28.07.00,0.1795
ER-WestBengal-PV,2030.01.28.08.00,0.4065
ER-WestBengal-PV,2030.01.28.09.00,0.596
ER-WestBengal-PV,2030.01.28.10.00,0.7
ER-WestBengal-PV,2030.01.28.11.00,0.7425
ER-WestBengal-PV,2030.01.28.12.00,0.7175
ER-WestBengal-PV,2030.01.28.13.00,0.593
ER-WestBengal-PV,2030.01.28.14.00,0.4095
ER-WestBengal-PV,2030.01.28.15.00,0.2385
ER-WestBengal-PV,2030.01.28.16.00,0.0805
ER-WestBengal-PV,2030.01.28.17.00,0.001
ER-WestBengal-PV,2030.01.28.18.00,0
ER-WestBengal-PV,2030.01.28.19.00,0
ER-WestBengal-PV,2030.01.28.20.00,0
ER-WestBengal-PV,2030.01.28.21.00,0
ER-WestBengal-PV,2030.01.28.22.00,0
ER-WestBengal-PV,2030.01.28.23.00,0
ER-WestBengal-PV,2030.04.15.00.00,0
ER-WestBengal-PV,2030.04.15.01.00,0
ER-WestBengal-PV,2030.04.15.02.00,0
ER-WestBengal-PV,2030.04.15.03.00,0
ER-WestBengal-PV,2030.04.15.04.00,0
ER-WestBengal-PV,2030.04.15.05.00,0.0185
ER-WestBengal-PV,2030.04.15.06.00,0.129
ER-WestBengal-PV,2030.04.15.07.00,0.326
ER-WestBengal-PV,2030.04.15.08.00,0.509
ER-WestBengal-PV,2030.04.15.09.00,0.641
ER-WestBengal-PV,2030.04.15.10.00,0.7215
ER-WestBengal-PV,2030.04.15.11.00,0.7485
ER-WestBengal-PV,2030.04.15.12.00,0.7245
ER-WestBengal-PV,2030.04.15.13.00,0.6495
ER-WestBengal-PV,2030.04.15.14.00,0.5275
ER-WestBengal-PV,2030.04.15.15.00,0.36
ER-WestBengal-PV,2030.04.15.16.00,0.1685
ER-WestBengal-PV,2030.04.15.17.00,0.0365
ER-WestBengal-PV,2030.04.15.18.00,0
ER-WestBengal-PV,2030.04.15.19.00,0
ER-WestBengal-PV,2030.04.15.20.00,0
ER-WestBengal-PV,2030.04.15.21.00,0
ER-WestBengal-PV,2030.04.15.22.00,0
ER-WestBengal-PV,2030.04.15.23.00,0
ER-WestBengal-PV,2030.07.01.00.00,0
ER-WestBengal-PV,2030.07.01.01.00,0
ER-WestBengal-PV,2030.07.01.02.00,0
ER-WestBengal-PV,2030.07.01.03.00,0
ER-WestBengal-PV,2030.07.01.04.00,0.001
ER-WestBengal-PV,2030.07.01.05.00,0.0375
ER-WestBengal-PV,2030.07.01.06.00,0.1305
ER-WestBengal-PV,2030.07.01.07.00,0.255
ER-WestBengal-PV,2030.07.01.08.00,0.387
ER-WestBengal-PV,2030.07.01.09.00,0.4915
ER-WestBengal-PV,2030.07.01.10.00,0.533
ER-WestBengal-PV,2030.07.01.11.00,0.5245
ER-WestBengal-PV,2030.07.01.12.00,0.498
ER-WestBengal-PV,2030.07.01.13.00,0.4355
ER-WestBengal-PV,2030.07.01.14.00,0.3325
ER-WestBengal-PV,2030.07.01.15.00,0.245
ER-WestBengal-PV,2030.07.01.16.00,0.158
ER-WestBengal-PV,2030.07.01.17.00,0.0565
ER-WestBengal-PV,2030.07.01.18.00,0.0055
ER-WestBengal-PV,2030.07.01.19.00,0
ER-WestBengal-PV,2030.07.01.20.00,0
ER-WestBengal-PV,2030.07.01.21.00,0
ER-WestBengal-PV,2030.07.01.22.00,0
ER-WestBengal-PV,2030.07.01.23.00,0
ER-WestBengal-PV,2030.10.31.00.00,0
ER-WestBengal-PV,2030.10.31.01.00,0
ER-WestBengal-PV,2030.10.31.02.00,0
ER-WestBengal-PV,2030.10.31.03.00,0
ER-WestBengal-PV,2030.10.31.04.00,0
ER-WestBengal-PV,2030.10.31.05.00,0.0025
ER-WestBengal-PV,2030.10.31.06.00,0.0715
ER-WestBengal-PV,2030.10.31.07.00,0.2415
ER-WestBengal-PV,2030.10.31.08.00,0.432
ER-WestBengal-PV,2030.10.31.09.00,0.58
ER-WestBengal-PV,2030.10.31.10.00,0.6685
ER-WestBengal-PV,2030.10.31.11.00,0.6525
ER-WestBengal-PV,2030.10.31.12.00,0.577
ER-WestBengal-PV,2030.10.31.13.00,0.496
ER-WestBengal-PV,2030.10.31.14.00,0.3745
ER-WestBengal-PV,2030.10.31.15.00,0.229
ER-WestBengal-PV,2030.10.31.16.00,0.0875
ER-WestBengal-PV,2030.10.31.17.00,0.0095
ER-WestBengal-PV,2030.10.31.18.00,0
ER-WestBengal-PV,2030.10.31.19.00,0
ER-WestBengal-PV,2030.10.31.20.00,0
ER-WestBengal-PV,2030.10.31.21.00,0
ER-WestBengal-PV,2030.10.31.22.00,0
ER-WestBengal-PV,2030.10.31.23.00,0
NER-ArunachalPradesh-PV,2030.01.28.00.00,0
NER-ArunachalPradesh-PV,2030.01.28.01.00,0
NER-ArunachalPradesh-PV,2030.01.28.02.00,0
NER-ArunachalPradesh-PV,2030.01.28.03.00,0
NER-ArunachalPradesh-PV,2030.01.28.04.00,0
NER-ArunachalPradesh-PV,2030.01.28.05.00,0.003
NER-ArunachalPradesh-PV,2030.01.28.06.00,0.116
NER-ArunachalPradesh-PV,2030.01.28.07.00,0.335
NER-ArunachalPradesh-PV,2030.01.28.08.00,0.535
NER-ArunachalPradesh-PV,2030.01.28.09.00,0.6565
NER-ArunachalPradesh-PV,2030.01.28.10.00,0.6975
NER-ArunachalPradesh-PV,2030.01.28.11.00,0.702
NER-ArunachalPradesh-PV,2030.01.28.12.00,0.6405
NER-ArunachalPradesh-PV,2030.01.28.13.00,0.4935
NER-ArunachalPradesh-PV,2030.01.28.14.00,0.316
NER-ArunachalPradesh-PV,2030.01.28.15.00,0.1345
NER-ArunachalPradesh-PV,2030.01.28.16.00,0.0195
NER-ArunachalPradesh-PV,2030.01.28.17.00,0
NER-ArunachalPradesh-PV,2030.01.28.18.00,0
NER-ArunachalPradesh-PV,2030.01.28.19.00,0
NER-ArunachalPradesh-PV,2030.01.28.20.00,0
NER-ArunachalPradesh-PV,2030.01.28.21.00,0
NER-ArunachalPradesh-PV,2030.01.28.22.00,0
NER-ArunachalPradesh-PV,2030.01.28.23.00,0
NER-ArunachalPradesh-PV,2030.04.15.00.00,0
NER-ArunachalPradesh-PV,2030.04.15.01.00,0
NER-ArunachalPradesh-PV,2030.04.15.02.00,0
NER-ArunachalPradesh-PV,2030.04.15.03.00,0
NER-ArunachalPradesh-PV,2030.04.15.04.00,0
NER-ArunachalPradesh-PV,2030.04.15.05.00,0.033
NER-ArunachalPradesh-PV,2030.04.15.06.00,0.152
NER-ArunachalPradesh-PV,2030.04.15.07.00,0.308
NER-ArunachalPradesh-PV,2030.04.15.08.00,0.4455
NER-ArunachalPradesh-PV,2030.04.15.09.00,0.5555
NER-ArunachalPradesh-PV,2030.04.15.10.00,0.595
NER-ArunachalPradesh-PV,2030.04.15.11.00,0.5735
NER-ArunachalPradesh-PV,2030.04.15.12.00,0.5285
NER-ArunachalPradesh-PV,2030.04.15.13.00,0.444
NER-ArunachalPradesh-PV,2030.04.15.14.00,0.315
NER-ArunachalPradesh-PV,2030.04.15.15.00,0.176
NER-ArunachalPradesh-PV,2030.04.15.16.00,0.058
NER-ArunachalPradesh-PV,2030.04.15.17.00,0.004
NER-ArunachalPradesh-PV,2030.04.15.18.00,0
