load_zone,TIMEPOINT,zone_demand_mw
NER,2040.01.02.07.00,6479
NER,2040.01.02.08.00,6604
NER,2040.01.02.09.00,6374
NER,2040.01.02.10.00,5963
NER,2040.01.02.11.00,5719
NER,2040.01.02.12.00,5625
NER,2040.01.02.13.00,5524
NER,2040.01.02.14.00,5460
NER,2040.01.02.15.00,5546
NER,2040.01.02.16.00,5765
NER,2040.01.02.17.00,7097
NER,2040.01.02.18.00,8194
NER,2040.01.02.19.00,8174
NER,2040.01.02.20.00,8149
NER,2040.01.02.21.00,7742
NER,2040.01.02.22.00,6946
NER,2040.01.02.23.00,6229
NER,2040.04.19.00.00,4827
NER,2040.04.19.01.00,4569
NER,2040.04.19.02.00,4390
NER,2040.04.19.03.00,4269
NER,2040.04.19.04.00,4213
NER,2040.04.19.05.00,4372
NER,2040.04.19.06.00,4753
NER,2040.04.19.07.00,5008
NER,2040.04.19.08.00,4951
NER,2040.04.19.09.00,4858
NER,2040.04.19.10.00,4763
NER,2040.04.19.11.00,4751
NER,2040.04.19.12.00,4769
NER,2040.04.19.13.00,4821
NER,2040.04.19.14.00,4870
NER,2040.04.19.15.00,4921
NER,2040.04.19.16.00,5037
NER,2040.04.19.17.00,5260
NER,2040.04.19.18.00,6509
NER,2040.04.19.19.00,7018
NER,2040.04.19.20.00,7028
NER,2040.04.19.21.00,6722
NER,2040.04.19.22.00,6100
NER,2040.04.19.23.00,5362
NR,2040.01.02.00.00,122900
NR,2040.01.02.01.00,119674
NR,2040.01.02.02.00,116345
NR,2040.01.02.03.00,114566
NR,2040.01.02.04.00,114460
NR,2040.01.02.05.00,117646
NR,2040.01.02.06.00,128215
NR,2040.01.02.07.00,139670
NR,2040.01.02.08.00,142790
NR,2040.01.02.09.00,143986
NR,2040.01.02.10.00,144552
NR,2040.01.02.11.00,142675
NR,2040.01.02.12.00,140565
NR,2040.01.02.13.00,139374
NR,2040.01.02.14.00,137198
NR,2040.01.02.15.00,134127
NR,2040.01.02.16.00,133237
NR,2040.01.02.17.00,134968
NR,2040.01.02.18.00,142889
NR,2040.01.02.19.00,149660
NR,2040.01.02.20.00,141539
NR,2040.01.02.21.00,133031
NR,2040.01.02.22.00,124749
NR,2040.01.02.23.00,127196
NR,2040.04.19.00.00,119043
NR,2040.04.19.01.00,117056
NR,2040.04.19.02.00,114742
NR,2040.04.19.03.00,112218
NR,2040.04.19.04.00,111402
NR,2040.04.19.05.00,114109
NR,2040.04.19.06.00,120698
NR,2040.04.19.07.00,121539
NR,2040.04.19.08.00,118988
NR,2040.04.19.09.00,116809
NR,2040.04.19.10.00,116772
NR,2040.04.19.11.00,115712
NR,2040.04.19.12.00,116130
NR,2040.04.19.13.00,114767
NR,2040.04.19.14.00,112948
NR,2040.04.19.15.00,114427
NR,2040.04.19.16.00,112205
NR,2040.04.19.17.00,112783
NR,2040.04.19.18.00,112724
NR,2040.04.19.19.00,119696
NR,2040.04.19.20.00,131996
NR,2040.04.19.21.00,130171
NR,2040.04.19.22.00,124875
NR,2040.04.19.23.00,123356
SR,2040.01.02.00.00,105021
SR,2040.01.02.01.00,106469
SR,2040.01.02.02.00,104967
SR,2040.01.02.03.00,103942
SR,2040.01.02.04.00,104763
SR,2040.01.02.05.00,108696
SR,2040.01.02.06.00,115202
SR,2040.01.02.07.00,124749
SR,2040.01.02.08.00,131414
SR,2040.01.02.09.00,130017
SR,2040.01.02.10.00,127649
SR,2040.01.02.11.00,125576
SR,2040.01.02.12.00,124343
SR,2040.01.02.13.00,122731
SR,2040.01.02.14.00,119057
SR,2040.01.02.15.00,119187
SR,2040.01.02.16.00,118661
SR,2040.01.02.17.00,118815
SR,2040.01.02.18.00,118127
SR,2040.01.02.19.00,126845
SR,2040.01.02.20.00,123296
SR,2040.01.02.21.00,119869
SR,2040.01.02.22.00,117392
SR,2040.01.02.23.00,112470
SR,2040.04.19.00.00,119267
SR,2040.04.19.01.00,118751
SR,2040.04.19.02.00,116703
SR,2040.04.19.03.00,115174
SR,2040.04.19.04.00,114429
SR,2040.04.19.05.00,115589
SR,2040.04.19.06.00,118512
SR,2040.04.19.07.00,119787
SR,2040.04.19.08.00,121724
SR,2040.04.19.09.00,122085
SR,2040.04.19.10.00,122661
SR,2040.04.19.11.00,123796
SR,2040.04.19.12.00,124978
SR,2040.04.19.13.00,125766
SR,2040.04.19.14.00,123738
SR,2040.04.19.15.00,123910
SR,2040.04.19.16.00,121930
SR,2040.04.19.17.00,119457
SR,2040.04.19.18.00,114697
SR,2040.04.19.19.00,121367
SR,2040.04.19.20.00,127046
SR,2040.04.19.21.00,125377
SR,2040.04.19.22.00,124962
SR,2040.04.19.23.00,126263
WR,2040.01.02.00.00,131620
WR,2040.01.02.01.00,129984
WR,2040.01.02.02.00,128664
WR,2040.01.02.03.00,127852
WR,2040.01.02.04.00,127539
WR,2040.01.02.05.00,129556
WR,2040.01.02.06.00,137655
WR,2040.01.02.07.00,150277
WR,2040.01.02.08.00,160144
WR,2040.01.02.09.00,163738
WR,2040.01.02.10.00,165421
WR,2040.01.02.11.00,165829
WR,2040.01.02.12.00,161705
WR,2040.01.02.13.00,158071
WR,2040.01.02.14.00,154686
WR,2040.01.02.15.00,154770
WR,2040.01.02.16.00,155150
WR,2040.01.02.17.00,153930
WR,2040.01.02.18.00,149672
WR,2040.01.02.19.00,153543
WR,2040.01.02.20.00,148784
WR,2040.01.02.21.00,143133
WR,2040.01.02.22.00,136352
WR,2040.01.02.23.00,134933
WR,2040.04.19.00.00,147841
WR,2040.04.19.01.00,145202
WR,2040.04.19.02.00,143027
WR,2040.04.19.03.00,141061
WR,2040.04.19.04.00,139419
WR,2040.04.19.05.00,139296
WR,2040.04.19.06.00,142162
WR,2040.04.19.07.00,143237
WR,2040.04.19.08.00,144029
WR,2040.04.19.09.00,146368
WR,2040.04.19.10.00,150439
WR,2040.04.19.11.00,154841
WR,2040.04.19.12.00,154990
WR,2040.04.19.13.00,153175
WR,2040.04.19.14.00,150894
WR,2040.04.19.15.00,153434
WR,2040.04.19.16.00,154121
WR,2040.04.19.17.00,149967
WR,2040.04.19.18.00,142616
WR,2040.04.19.19.00,142972
WR,2040.04.19.20.00,150596
WR,2040.04.19.21.00,148184
WR,2040.04.19.22.00,146902
WR,2040.04.19.23.00,149350
ER,2040.01.02.00.00,50884
ER,2040.01.02.01.00,49881
ER,2040.01.02.02.00,49115
ER,2040.01.02.03.00,48950
ER,2040.01.02.04.00,49295
ER,2040.01.02.05.00,50004
ER,2040.01.02.06.00,51873
ER,2040.01.02.07.00,52673
ER,2040.01.02.08.00,52261
ER,2040.01.02.09.00,51920
ER,2040.01.02.10.00,50755
ER,2040.01.02.11.00,49840
ER,2040.01.02.12.00,49396
ER,2040.01.02.13.00,48080
ER,2040.01.02.14.00,46084
ER,2040.01.02.15.00,45976
ER,2040.01.02.16.00,46945
ER,2040.01.02.17.00,50519
ER,2040.01.02.18.00,59842
ER,2040.01.02.19.00,62139
ER,2040.01.02.20.00,61873
ER,2040.01.02.21.00,59871
ER,2040.01.02.22.00,56255
ER,2040.01.02.23.00,52784
ER,2040.04.19.00.00,53072
ER,2040.04.19.01.00,51017
ER,2040.04.19.02.00,50231
ER,2040.04.19.03.00,49899
ER,2040.04.19.04.00,49658
ER,2040.04.19.05.00,50025
ER,2040.04.19.06.00,48427
ER,2040.04.19.07.00,48078
ER,2040.04.19.08.00,48225
ER,2040.04.19.09.00,48740
ER,2040.04.19.10.00,49455
ER,2040.04.19.11.00,49953
ER,2040.04.19.12.00,50350
ER,2040.04.19.13.00,49922
ER,2040.04.19.14.00,49405
ER,2040.04.19.15.00,49807
ER,2040.04.19.16.00,49505
ER,2040.04.19.17.00,48756
ER,2040.04.19.18.00,49870
ER,2040.04.19.19.00,57808
ER,2040.04.19.20.00,59036
ER,2040.04.19.21.00,59174
ER,2040.04.19.22.00,57591
ER,2040.04.19.23.00,55433
NER,2040.07.24.00.00,6500
NER,2040.07.24.01.00,6277
NER,2040.07.24.02.00,6152
NER,2040.07.24.03.00,6057
NER,2040.07.24.04.00,5889
NER,2040.07.24.05.00,5745
NER,2040.07.24.06.00,5815
NER,2040.07.24.07.00,5932
NER,2040.07.24.08.00,5991
NER,2040.07.24.09.00,6014
NER,2040.07.24.10.00,5994
NER,2040.07.24.11.00,5940
NER,2040.07.24.12.00,5923
NER,2040.07.24.13.00,5948
NER,2040.07.24.14.00,6036
NER,2040.07.24.15.00,6121
NER,2040.07.24.16.00,6208
NER,2040.07.24.17.00,6234
NER,2040.07.24.18.00,6709
NER,2040.07.24.19.00,7823
NER,2040.07.24.20.00,7768
NER,2040.07.24.21.00,7749
NER,2040.07.24.22.00,7440
NER,2040.07.24.23.00,6846
NER,2040.10.13.00.00,6258
NER,2040.10.13.01.00,5951
NER,2040.10.13.02.00,5838
NER,2040.10.13.03.00,5773
NER,2040.10.13.04.00,5721
NER,2040.10.13.05.00,5791
NER,2040.10.13.06.00,6022
NER,2040.10.13.07.00,6073
NER,2040.10.13.08.00,6047
NER,2040.10.13.09.00,5935
NER,2040.10.13.10.00,5852
NER,2040.10.13.11.00,5828
NER,2040.10.13.12.00,5856
NER,2040.10.13.13.00,5958
NER,2040.10.13.14.00,6041
NER,2040.10.13.15.00,6130
NER,2040.10.13.16.00,6262
NER,2040.10.13.17.00,7043
NER,2040.10.13.18.00,7988
NER,2040.10.13.19.00,7980
NER,2040.10.13.20.00,8088
NER,2040.10.13.21.00,8042
NER,2040.10.13.22.00,7600
NER,2040.10.13.23.00,6870
NR,2040.07.24.00.00,159338
NR,2040.07.24.01.00,156560
NR,2040.07.24.02.00,153741
NR,2040.07.24.03.00,152675
NR,2040.07.24.04.00,150013
NR,2040.07.24.05.00,149605
NR,2040.07.24.06.00,147673
NR,2040.07.24.07.00,147668
NR,2040.07.24.08.00,148356
NR,2040.07.24.09.00,150274
NR,2040.07.24.10.00,152681
NR,2040.07.24.11.00,154622
NR,2040.07.24.12.00,156942
NR,2040.07.24.13.00,157165
NR,2040.07.24.14.00,158189
NR,2040.07.24.15.00,159601
NR,2040.07.24.16.00,156617
NR,2040.07.24.17.00,154064
NR,2040.07.24.18.00,151001
NR,2040.07.24.19.00,152919
NR,2040.07.24.20.00,162233
NR,2040.07.24.21.00,164628
NR,2040.07.24.22.00,163975
NR,2040.07.24.23.00,162720
NR,2040.10.13.00.00,145192
NR,2040.10.13.01.00,142045
NR,2040.10.13.02.00,137130
NR,2040.10.13.03.00,134458
NR,2040.10.13.04.00,134132
NR,2040.10.13.05.00,138654
NR,2040.10.13.06.00,146285
NR,2040.10.13.07.00,148416
