"scenario_name","scenario_profile","region","eres_case","tech_scenario","carbon_case","solver","solver_options_string","crossover"
"Scen_CN_Low_C_HighRGES_007","CN_HR_C","CN","HR","C","CE007","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_008","CN_HR_C","CN","HR","C","CE008","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_009","CN_HR_C","CN","HR","C","CE009","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_010","CN_HR_C","CN","HR","C","CE010","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_011","CN_HR_C","CN","HR","C","CE011","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_012","CN_HR_C","CN","HR","C","CE012","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_013","CN_HR_C","CN","HR","C","CE013","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_014","CN_HR_C","CN","HR","C","CE014","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_015","CN_HR_C","CN","HR","C","CE015","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_M_BaseRGES_000","CN_BR_M","CN","BR","M","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_M_BaseRGES_001","CN_BR_M","CN","BR","M","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_M_BaseRGES_002","CN_BR_M","CN","BR","M","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
