GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_min_load_fraction,gen_is_pumped_hydro
Fujian-Gas-turbine_EP,Gas-turbine_EP,Gas,Fujian,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Fujian-Nuclear,Nuclear,Uranium,Fujian,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Fujian-Nuclear_EP,Nuclear_EP,Uranium,Fujian,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,7543,0,FALSE,.,.,.,1,FALSE
Gansu-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Gansu,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Gansu,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,2814,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,17295,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-IGCC,Coal-IGCC,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Gansu-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Gansu,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Gansu-Gas-CCGT,Gas-CCGT,Gas,Gansu,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Gansu-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Gansu,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,0,0,FALSE,.,.,.,0.4,FALSE
Gansu-Gas-turbine,Gas-turbine,Gas,Gansu,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Gansu-Gas-turbine_EP,Gas-turbine_EP,Gas,Gansu,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Gansu-Nuclear,Nuclear,Uranium,Gansu,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Gansu-Nuclear_EP,Nuclear_EP,Uranium,Gansu,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,0,0,FALSE,.,.,.,1,FALSE
Guangdong-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Guangdong,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Guangdong,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,6573,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,35239,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,16000,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-IGCC,Coal-IGCC,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Guangdong,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Guangdong-Gas-CCGT,Gas-CCGT,Gas,Guangdong,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Guangdong-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Guangdong,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,18768.4,0,FALSE,.,.,.,0.4,FALSE
Guangdong-Gas-turbine,Gas-turbine,Gas,Guangdong,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Guangdong-Gas-turbine_EP,Gas-turbine_EP,Gas,Guangdong,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Guangdong-Nuclear,Nuclear,Uranium,Guangdong,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Guangdong-Nuclear_EP,Nuclear_EP,Uranium,Guangdong,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,18932,0,FALSE,.,.,.,1,FALSE
Guangxi-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Guangxi,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Guangxi,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,2279.8,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,11050,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,4000,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-IGCC,Coal-IGCC,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Guangxi,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Guangxi-Gas-CCGT,Gas-CCGT,Gas,Guangxi,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Guangxi-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Guangxi,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,0,0,FALSE,.,.,.,0.4,FALSE
Guangxi-Gas-turbine,Gas-turbine,Gas,Guangxi,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Guangxi-Gas-turbine_EP,Gas-turbine_EP,Gas,Guangxi,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Guangxi-Nuclear,Nuclear,Uranium,Guangxi,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Guangxi-Nuclear_EP,Nuclear_EP,Uranium,Guangxi,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,4405,0,FALSE,.,.,.,1,FALSE
Guizhou-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Guizhou-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,3196.6,0,FALSE,.,.,.,0.5,FALSE
Guizhou-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
